id,plataforma,sentimiento,texto
2403,Borderlands,Neutral,"La Varlope, dura como una roca, rara y poderosa, premio gordo impresionante, Borderlands 3 (Xbox) dlvr.it/RMTrgF"
2403,Borderlands,Neutral,"Rock en vivo - Música dura La la Varlope, RARE & the POWERFUL, Live HANDSOME y JACKPOT, Borderlands 3 (Sega Xbox) descargable. De it / e RMTrgF"
2403,Borderlands,Neutral,"Soy duro como yo, RARE LONDON DE, HANDSOME 2011, Borderlands 3 (Xbox) dlvr.it/RMTrgF"
2409,Borderlands,Neutral,"¡Culpando a la vista por la tardanza! Un poco de tierras fronterizas. Me llamaron temprano para trabajar mañana, así que no puedo recuperar el tiempo perdido. Lo siento, mis amores. twitch.tv/punnisenpai"
9033,Nvidia,Neutral,"Ahora me arrepiento un poco de no haberme lanzado a comprar las EVGA o las Gigabyte 3080 cuando las vi disponibles. Aunque tengo puesta la ASUS Strix OC en la mira, a estas alturas se está volviendo bastante ridículo. @nvidia @ASUSUSA"
9033,Nvidia,Neutral,"Cuando vi los modelos EVGA o Gigabyte 3080, me molestó un poco no haberlos comprado. Aunque me encantaría la ASUS Strix OC, a estas alturas se vuelve bastante ridículo. @ nvidia @ ASUSUSA"
9033,Nvidia,Neutral,"Aunque me encanta ASUS Strix OC, se está poniendo bastante divertido en este momento. @ nvidia @ ASUSUSA"
9033,Nvidia,Neutral,"Me arrepiento un poco de haberme lanzado tan rápido a comprar las EVGA Pro Gigabyte 3080 cuando las vi disponibles. Aunque seguiré con la ASUS Strix OC, ya que se está quedando obsoleta. @nvidia @ASUSUSA"
9033,Nvidia,Neutral,"Ahora me arrepiento un poco de no haberme lanzado a las EVGA o Gigabyte 3080 y s cuando de repente las vi disponibles. Aunque estoy decidido a comprar la gran ASUS Strix OC, y ya se está volviendo bastante ridículo a estas alturas. @nvidia @ASUSUSA"
9033,Nvidia,Neutral,"Ahora mismo me arrepiento de no haberme lanzado a por las EVGA o Gigabyte 3080 que vimos disponibles primero. Aunque tengo puesta la mira en la ASUS Strix OC, a veces todo es bastante ridículo. @nvidia @ASUSUSA"
9034,Nvidia,Neutral,Se confirma la participación de Nvidia en fundiciones globales. TSMC no puede fabricar suficientes matrices grandes para Nvidia. pic.twitter.com/KXTIPTNyl9
9034,Nvidia,Neutral,Nvidia confirmada en fundiciones globales: TSMC no puede fabricar suficientes cubos grandes para nvidia pic.twitter.com/KXTIPTNyl9
9034,Nvidia,Neutral,Nvidia confirmada en fundiciones globales. TSMC logró crear un sello lo suficientemente grande para Nvidia. pic.wikipedia.org / KXTIPTNyl9
9034,Nvidia,Neutral,Se confirma la participación de Nvidia en fundiciones globales. TSMC no puede fabricar suficientes matrices grandes para Nvidia. pic.twitter.com/KXTIPTNyl9
9034,Nvidia,Neutral,Confirmado el interés de Nvidia en las fundiciones globales. TSMC no puede fabricar suficientes matrices grandes para Nvidia. pic.twitter.com/KXTIPTNyl9
9034,Nvidia,Neutral,Tú
9035,Nvidia,Neutral,Mira la parte 4 de la
9035,Nvidia,Neutral,Ver la Parte 4 de
9035,Nvidia,Neutral,Ver la Parte 4 de
9035,Nvidia,Neutral,Mira el episodio 4 de la
9035,Nvidia,Neutral,Mira la parte 4 de la
9035,Nvidia,Neutral,Mira la parte 4 de Para
9042,Nvidia,Neutral,"El mercado de GPU para aprendizaje profundo experimentarÃ¡ un enorme crecimiento para 2028 | Nvidia, AMD, Intel - The neurons.ai/blog/news-storâ€¦"
9042,Nvidia,Neutral,"El mercado de GPU para aprendizaje profundo experimentará un enorme crecimiento para 2028 | Nvidia, AMD, Intel - The neurons.ai / blog / news-stor..."
9042,Nvidia,Neutral,"GPU para Deep Market aparecerá en 2028 - Nvidia, AMD, Intel - Argumentos y hechos"
9042,Nvidia,Neutral,"El mercado de GPU para aprendizaje de IA registrarÃ¡ un enorme crecimiento para 2028: Nvidia, AMD, Intel - The neurons.ai/blog/news-storâ€¦"
9042,Nvidia,Neutral,"El mercado de GPU para aprendizaje profundo se centrarÃ¡ en un enorme crecimiento empresarial en EE. UU. para noviembre de 2028 | Nvidia, AMD, Intel - The neurons. ai / blog de tecnologÃ­a / noticias - stor org â€¦"
9042,Nvidia,Neutral,"Se espera un gran crecimiento del uso del aprendizaje profundo para 2028 | Nvidia, Nokia, Intel - 2 neurons.ai/blog/news-stor..."
9044,Nvidia,Neutral,"Supuestamente AMD está probando Big Navi, y podría ser una GPU monstruosa que preocupará seriamente a Nvidia dlvr.it/RNbcLk"
9044,Nvidia,Neutral,"Según se informa, AMD está probando Big Navi, y podría ser una GPU monstruosa que preocupará seriamente a Nvidia dlvr.it / RNbcLk"
9044,Nvidia,Neutral,"Supuestamente AMD está probando Big Navi, y podría ser un procesador gráfico monstruoso que pondrá en serios problemas a Nvidia dr.it / RNLk"
9044,Nvidia,Neutral,"Supuestamente AMD está probando Big Navi, y será una construcción monstruosa que realmente preocupará a Nvidia dlvr.it/RNbcLk"
9044,Nvidia,Neutral,"Supuestamente AMD también está probando Big Navi, y probablemente podría convertirse en una GPU monstruosa que no preocupará en absoluto a su dlvr de Nvidia. it / RNbcLk"
9044,Nvidia,Neutral,"AMD está promocionando intensamente Big Navi, y podría resultar en una GPU monstruosa que nos preocupe seriamente. dlvr.it/RNbcLk"
9046,Nvidia,Neutral,Â¡El Ãºltimo artÃ­culo de The Falk Hedemann Daily! paper.li/Wissenssucher?â€¦ Gracias a @lenadoppel
9046,Nvidia,Neutral,El diario actual de Falk Hedemann! paper.li / ¿Buscadores de conocimientos?... Gracias a @ lenadoppel
9046,Nvidia,Neutral,¡Lo último de The Falk Health Daily! paper.li / Hessucher?... Gracias @lenadel
9046,Nvidia,Neutral,Lo Ãºltimo vÃ­a Falk Hedemann Daily! paper.li/Wissenssucher?â€¦ Bienvenido a @lenadoppel
9046,Nvidia,Neutral,Las pÃ¡ginas mÃ¡s recientes El difunto Falk Hedemann en Daily! paper. li / Â¿Buscadores de conocimientos? â€¦ 5 Gracias a Henry @lenadoppel
9046,Nvidia,Neutral,¡El tercer y próximo Hedemann Daily! to.li/Wissenssucher?... Gracias a @lenadoppel
9054,Nvidia,Neutral,Pero... las nuevas GPU de la serie 3000 de Nvidia también parecen atractivas. Una 3070 tiene mejor rendimiento que la 2080 por la mitad de precio... ¡Qué locura! Estoy dudando entre ahorrar para una 3070 o para una PS5... 20:14 · 16 sep. 2020 · T
9054,Nvidia,Neutral,Pero... las nuevas GPU de la serie Nvidia 3000 también son atractivas. Una 3070 tiene mejor rendimiento que la 2080 por la mitad de precio... ¡Qué locura! Estoy dudando entre ahorrar para una 3070 o para una PS5... 20:14 · 16/09/2020 · T
9054,Nvidia,Neutral,Pero... la nueva serie Nvidia también tiene una pinta deliciosa. La 3070 tiene mejor rendimiento que la 2080 a mitad de precio... ¡es una locura! Estoy dudando entre acumular una 3070 o acumular 5... 20:14 · 16 sep. 2020 · T
9054,Nvidia,Neutral,Pero... las nuevas GPU de la serie 3000 de Nvidia no son nada atractivas. Mi 3070 tiene mejor rendimiento que la 2080... ¡la mitad de precio! ¡Qué locura! Estoy pasando apuros... ¿ahorrando para una 3070 o para una PS5? 20:14 · 16 sep. 2020 · T
9054,Nvidia,Neutral,"Pero... el nuevo hardware de Nvidia, la serie 3000 o las GPU también parecen atractivas. Una 3070 tiene mejor rendimiento que la 2080 por la mitad de precio... ¡es una locura! Me cuesta decidir entre ahorrar para una 3070 o para una PS5... 20:14 · 29 sep. 2020 · 16 de julio"
