texto;label;sentimiento
termine bien abrumado después de hoy;0;negativo
me siento abrumado;0;negativo
Me siento un poco abrumado por la cantidad de cosas que quiero dibujar, ver, jugar y leer. Odio esta sensación xdddd;0;negativo
Salvador la única persona que no la ha abrumado de versiones???? #NadieComoTú;0;negativo
Denme un helado o algo que ando full abrumado.;0;negativo
Estoy abrumado de airdrops , de youtube y de todo. Es imposible gestionarlo todo , todo se mueve muy rápido. O determino un plan o me quemo;0;negativo
"#MicroCuento: A veces, sin motivo aparente, o, más bien, por razones quizás fútiles, se le venían encima unas nostalgias inmensas, que lo dejaban paralizado y abrumado... ¿Serían los ""Heraldos Negros"" de los que hablaba Vallejo?...";0;negativo
Oh, las vacaciones. Tesoros inciertos, venideros y preciados para cualquier trabajador abrumado por la sobreexplotación. Un sueño fugaz en el que el dinero parecía no importar, a cambio de un breve respiro de placer, diversión y alivio.  Su tesoro perdido, ahora convertido;0;negativo
me siento muy abrumado;0;negativo
Consejo  que nadie pidió:  Si un día te sientes abrumado, triste, enojado, ansioso…   Cierra tus ojos, y piérdete en tu respiración;0;negativo
Y entonces aprendimos que si está desbordado y ni él se aguanta es por dos razones: hambre o sueño. Hoy resultó ser la segunda y ya, hijo dormido a las 8 p. m.  ??;0;negativo
NADA se va a solucionar sin una ley anti fake news. El manejo de la información está absolutamente desbordado.;0;negativo
Yo lo que veo en este presidente es un ego desbordado, un aire de superioridad y bastantante indolencia sobre la tragedia que vive el pais.;0;negativo
estoy desbordado;0;negativo
Dios estoy desbordado;0;negativo
Desbordado de felicidad y de ansiedad??????;0;negativo
Termino de lavar la loza,tomo un vaso de agua y ya esta desbordado de platos y ollas sucias;0;negativo
Las consecuencias de lo que se viene haciendo desde 2002 hasta ahora:  Default Sin justicia Hiperinflacion Infraestructura destruida Endeudamiento Gasto publico desbordado Carga tributaria confiscatoria Regulaciones que violan la constitucion;0;negativo
"""Simplemente obstruí un poco mi inodoro y comenzó desbordado y tuve un ataque de pánico así que usé el émbolo que fue tan jodidamente tonto porque luego comenzó a desbordarse aún más y luego comencé temblando y fue a poner toallas alrededor del fondo de el baño lo cual me hace-";0;negativo
Pones jazz quesque para relajarte y todo es un sonidero desbordado para todos lados.  Ya mejor le cambio a canciones de Celine Dion.;0;negativo
Como ha dicho él mismo es importante ver cómo se levanta mañana. El músculo debe estar muy sobrecargado tras casi 4 horas pero si no nota mucho más es posible que no haya rotura ni desgarro, porque eso se debe notar (o no)... En 10 días empieza Australia #BrisbaneTennis;0;negativo
Vivir en ignorancia aporta mas tranquilidad, pero es mejor estar sobrecargado de información y ser pragmatico y coherente con la misma, antes que vivir en una burbuja sin saber lo que acontece a nuestro alrededor.  Un incendio te va a quemar por mas que lo ignores con Vehemencia.;0;negativo
Qué día más sobrecargado de emoción. No me den más días así que sobrepienso.;0;negativo
ya le dije q me escriba cuando qiera, si no lo quiere hacer yo no le voy a andar rogando, ando sobrecargado de cosas que lo único que puedo hacer es responder de a ratos;0;negativo
Hoy si   El chisme anda sobrecargado;0;negativo
No hay nada de malo en llorar por un mal día, por estrés sobrecargado de la Universidad o el trabajo, por problemas personales o por el motivo que quieran. Si usted quiere llorar, hágalo donde quiera y a la hora que quiera, libérese de ese peso que solo USTED entiende.;0;negativo
Acaban de soltar la lista de clientes del Pedófilo Epstein y el site está sobrecargado. El mundo entero pendiente a ver los nombres de Pedófilos desgraciados que violaron y traficaron niños. ???? Obvio, salió Bill Clinton y Prince Andrew. Asquerosos Cerdos ??;0;negativo
Han conseguido lo más dificil, no han arreglado el problema en los centros donde había sobrecarga y han sobrecargado los centros donde no había problemas;0;negativo
Eliminado cosas de mi galería me di cuenta de lo quemado que estaba mental, físicamente y en todo sentidos, de lo sobrecargado que estaba en todo momento. Del llanto que se me salía de la nada por qué sentía que ya no podía más.;0;negativo
ME ESTÁN DICIENDO QUE MI MAQUILLAJE ES MUY SOBRECARGADO, ellos no entienden que nunca es suficiente brillo en los ojos;0;negativo
Desbordante y efervescente, pero a qué costo?;0;negativo
"Llenita de pueblo va a estar la ""cena en el conrad"" de yamandu. Desbordante de humildad.  Oddone seguro va.. Cpa ferrere le paga el costoso ticket Capaz habla de ajuste o mal del plebiscito  A  U$10000 la mesa, para además escuchar al cheto de Vilaro  Realmente, bien de izquierda";0;negativo
También me veo cantando a corazón desbordante  todos los temas de Floricienta;0;negativo
Ando en mi romantic era ????? Alv el dolor, bienvenido el amor desbordante;0;negativo
Viendo la cabalgata con ilusión desbordante desde Oban, costa oeste de Escocia! Irene, Dani y Pelusa ??#CabalgataRTVE;0;negativo
La desbordante corrupción, al infiltrarse en la estructura del poder, ha resultado devastadora. La lucha contra este fenómeno ha utilizado tácticas persecutorias propias de sistemas políticos cerrados. Disminuir la corrupción implica revitalizar el sistema constitucional, una tarea que solo puede lograrse mediante innovaciones institucionales. La consulta popular debería ser una oportunidad para avanzar en esta dirección.;0;negativo
VIERNES 5 DE ENERO: AMADO DIOS, en este nuevo amanecer, elevo mi corazón hacia Ti con gratitud desbordante. Gracias por el regalo de un día más de vida. Amén ??????;0;negativo
El amor con la persona correcta no se siente como una emoción desbordante que vacila, sino como una sensación de paz y libertad de ser tú misma en compañía del otro.;0;negativo
#LPAxFCB   se hablaba de que Lamine no estaba igual de desbordante y valiente en los últimos partidos y por eso Raphinha robó el puesto. pero claramente para estos minutos finales donde te vienes arriba y el partido está a tu favor Lamine Yamal es DECISIVO.  ha hecho el 1-2.;0;negativo
??? No entiendo lo que dices, pero debes detenerte. No existe ninguna gemela mía.   De a poco, aquella desbordante energía que cubrió su silueta de oscuridad comienza a desaparecer.;0;negativo
La manera en la que es altamente probable que cuando llegue a Pto me encuentre el apartamento inundado;0;negativo
Bueno, hoy he inundado mi ciudad y buggeado el Spiderman.  Trabajo bien hecho;0;negativo
deje todo el patio inundado y la alfombra impoluta de mugre ajajajaj q malaria;0;negativo
Si no hubiera pasado lo que pasó en Guatemala mi tuiter estaría inundado de puro amortz del amor inmenso que tengo por un hermoso ser ??;0;negativo
El CONICET tendria q haber inundado el pais con repelentes;0;negativo
Juanchaco en Buenaventura Inundado de Basura.. temporada de turismo . Y te recibe un Basurero ?en el Muelle.. muy mala impresion para el Turista. @FranciaMarquezM @DilianFrancisca @LaFMCali @elpaiscali @MabelLaraNews @ELTIEMPO @sergio_fajardo @MinAmbienteCo @ParquesColombia;0;negativo
Juanchaco en Buenaventura Inundado de Basura.. temporada de turismo . Y ye recibe un Basurero ?en el Muelle.. muy mala impresion para el Turista. @CaracolRadio @GobValle @EnterateCali @Noti90Minutos @MabelLaraNews @ClaraLuzRoldan @BLUPacifico @HotelMaguipi @petrogustavo;0;negativo
El año no puede empezar peor :);0;negativo
36 de diciembre y amanecimos con el apartamento inundado jajajajaja;0;negativo
El patio re inundado quedó ??;0;negativo
Te amo mucho Kim Daniel, si no hubieras aparecido hoy habría colapsado;0;negativo
Situación: Sala de espera de sanatorio cardiovascular.   Familia esperando a hija en operación por ACV.   Tres horas de operación.   Sin obra social, esta chica estaría muerta.   El sistema público está colapsado.   Donde va a parar la gente que no pueda pagar la OS?   Triste.;0;negativo
3 días sin luz en el HGSJDD, un compañero de EPS secuestrado Y NADIE ESTÁ HABLANDO DE ESO más que el personal de salud, el sistema de salud en Guatemala está colapsado, ojalá el @MPguatemala, la @PDHgt y a @DrGiammattei les interesara al menos un poco la situación :)));0;negativo
Bocagrande colapsado! Tráfico imposible!;0;negativo
Colapsado y aburrido de la vida...;0;negativo
Felicito ampliamente al imbécil de @LuisBNava por cerrar una arteria crítica de la ciudad Corregidora está colapsado el centro. ¡Gracias, …ndejo!;0;negativo
Ya estoy colapsado de aguantar cosas.;0;negativo
Terminando primer semana de enero y para variar los #chorrossv colapsado desde la Monseñor.;0;negativo
Lo caída que está la página del Movistar que intento entrar a “Mis Compras” para ver la entrada y NO CARGA. No desesperare, se que esta colapsado;0;negativo
Voy con mi hija en vuelo @LATAM_CHI de Antof-Stgo con maleta de cabina y vuelo internacional. Me OBLIGARON a enviar maleta por bodega contra mi voluntad. El aeropuerto internacional está colapsado. Qué pasa si tardo tiempo retirando la maleta y retrasa trámite intern.?!! ????;0;negativo
Y entonces aprendimos que si está desbordado y ni él se aguanta es por dos razones: hambre o sueño. Hoy resultó ser la segunda y ya, hijo dormido a las 8 p. m.  ??;0;negativo
NADA se va a solucionar sin una ley anti fake news. El manejo de la información está absolutamente desbordado.;0;negativo
Yo lo que veo en este presidente es un ego desbordado, un aire de superioridad y bastantante indolencia sobre la tragedia que vive el pais.;0;negativo
estoy desbordado;0;negativo
Dios estoy desbordado;0;negativo
Desbordado de felicidad y de ansiedad??????;0;negativo
Termino de lavar la loza,tomo un vaso de agua y ya esta desbordado de platos y ollas sucias;0;negativo
Las consecuencias de lo que se viene haciendo desde 2002 hasta ahora:  Default Sin justicia Hiperinflacion Infraestructura destruida Endeudamiento Gasto publico desbordado Carga tributaria confiscatoria Regulaciones que violan la constitucion;0;negativo
"""Simplemente obstruí un poco mi inodoro y comenzó desbordado y tuve un ataque de pánico así que usé el émbolo que fue tan jodidamente tonto porque luego comenzó a desbordarse aún más y luego comencé temblando y fue a poner toallas alrededor del fondo de el baño lo cual me hace-";0;negativo
Pones jazz quesque para relajarte y todo es un sonidero desbordado para todos lados.  Ya mejor le cambio a canciones de Celine Dion.;0;negativo
Mañana viajo muy lejos solo por primera vez, estoy demasiado nervioso preocupado, todo;0;negativo
No quiero tener animales, estaría preocupado y con ansiedad siempre cuando salga d casa aunq sean 2 horas;0;negativo
En Colombia, entre enero y septiembre del 2023, hubo 276 homicidios cometidos por menores de edad, 23 fueron por reincidentes.  Además hubo 1.065 menores de edad capturados por hurto. El presidente no se ve muy preocupado por los menores de edad en Colombia.;0;negativo
nunca se habían preocupado tanto por mí, ni me habían tratado tan bien como ahora ????;0;negativo
Jamás había visto a mi papá tan preocupado y enojado por algo mío ????;0;negativo
Cartagena y su gobierno local están preocupado por la baja del turismo y de ocupacion hotelera.  que esperas que pase si estafan al que medio habla diferente.   Mandan huevo.;0;negativo
To preocupado;0;negativo
ay, ya me había preocupado;0;negativo
Hoy murió Carlos Bremer empresario Mexicano exitoso y visionario, siendo un ejemplo de lo que debe ser y  hacer un empresario, preocupado y apoyando a su personal y emprendiendo más negocios en conjunto con dueños de MiPYMES. México necesita empresarios cómo él y no explotadores.;0;negativo
yo no puedo creer que mi papá me llame trompudo a preguntarme que yo porque no tengo novio???????????? que se siente muy preocupado jaksjajakjsja;0;negativo
Me he dado cuenta que estos últimos años, mi cumpleaños dejo de ser una fecha que me emocionara, creo que tanta expectativa o esperar mucho ha hecho que se haya perdido esa magia y siento que con otras fechas me está pasando lo mismo ??;0;negativo
Había un perro, pastor alemán. Llorando afuera en la calle, me imagino que dsta perdido, pero baje a ver si podía ayudarlo y cuando abrir la puerta, se fue asustado ??;0;negativo
hola perdido soy yo  el ex amor de tu vida;0;negativo
Qué chistosa es Lizli, dice que no puede cometer errores cómo si por eso hubiera perdido.;0;negativo
Si lloras por haber perdido el sol, las lágrimas no te dejarán ver las estrellas ?;0;negativo
La imagen de la última vez que lo vi/interactúe con él, la aborrezco porque me hizo ver todo lo que en mucho tiempo no quise ver, tiempo tal vez no perdido pero si mal invertido;0;negativo
vuelvan a mandarme tweets porfavor, no les contestaba porque había perdido esta cuenta;0;negativo
algo habré perdido que ando tan comprometido en buscar adentro tuyo algo que está adentro mioo;0;negativo
Haciendo un pequeño balance de mi vida me di cuenta que he perdido gente que no me amaba, pero también me di cuenta que ellos perdieron a alguien que los amaba leal y desinteresadamente.  Y uno aprende, y no deja de aprender.           Un día a la vez.;0;negativo
El ataque con drones y la masacre en la comunidad de Buenavista en Heliodoro Castillo, Guerrero, constatan que el gobierno estatal ha perdido o cedido el control de territorios enteros, abandonando a la población a merced del terror del crimen organizado;0;negativo
cuando pensé haber superado el trauma bastó que mencionaran su nombre, incluso si no hablaban de él, para quedarme completamente paralizado e incapacitado el resto del día.;0;negativo
"... que Los Reyes Magos, traigan ""lo mejor"", para todos,  para el país y para el mundo.... Nunca ni el país ni el mundo estuvieron en manos de tanto ""inepto incapacitado""... que puede provocar su desintegración. ¡Felices Reyes!, a los creyentes claro...";0;negativo
Ahora que haré esos 2 meses incapacitado :)));0;negativo
Aquí ponen al pelotero como un incapacitado mental o un animal en celo que no puede tener control de sí mismo;0;negativo
